doc_id	security_code	form_type	period_end	source_tags	existing_row_count	proposed_row_count	selected_candidate_count	excluded_candidate_count	review_row_count	excel_suppressed_segment_profit_count	status
S1007RUG	71800	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	21	9	23	5	0	0	match
S1007W34	83460	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	6	13	4	0	0	match
S1007Y0J	62920	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	25	10	27	33	0	0	match
S1007Z1N	71500	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	7	17	17	0	0	match
S1008EIU	98300	043000	2016-06-30	NotesSegmentInformationEtcQuarterlyFinancialStatementsTextBlock	16	6	20	19	0	0	match
S1008T15	81940	043000	2016-08-31	NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock	9	3	11	11	0	0	match
S10091EP	50210	043000	2016-09-30	NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock	17	5	18	8	0	0	match
S100946V	71620	043000	2016-09-30	NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock	15	5	17	39	0	0	match
S10095LM	71610	043000	2016-09-30	NotesSegmentInformationEtcSemiAnnualConsolidatedFinancialStatementsTextBlock	16	8	18	167	0	0	match
S10096F0	87660	043000	2016-09-30	NotesSegmentInformationEtcSemiAnnualConsolidatedFinancialStatementsTextBlock	18	8	20	198	0	0	match
S10096KF	71800	043000	2016-09-30	NotesSegmentInformationEtcSemiAnnualConsolidatedFinancialStatementsTextBlock	21	9	23	61	0	0	match
S10097DE	71500	043000	2016-09-30	NotesSegmentInformationEtcSemiAnnualConsolidatedFinancialStatementsTextBlock	15	7	17	137	0	0	match
S100ASHQ	71890	030000	2017-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	11	5	12	5	0	0	match
S100AU7M	33770	043000	2017-05-31	NotesSegmentInformationEtcQuarterlyFinancialStatementsTextBlock	12	3	13	24	0	0	match
S100BMCH	57110	043000	2017-09-30	NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock	28	7	29	45	0	0	match
S100BPA2	74190	043000	2017-09-30	NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock	20	5	23	42	0	0	match
S100BPSZ	19610	043000	2017-09-30	NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock	18	6	20	22	0	0	match
S100BQKR	54580	043000	2017-09-30	NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock	12	3	13	24	0	0	match
S100BR1F	32930	043000	2017-09-30	NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock	19	4	19	7	0	0	match
S100BTY8	83580	043000	2017-09-30	NotesSegmentInformationEtcSemiAnnualConsolidatedFinancialStatementsTextBlock	10	4	11	46	0	0	match
S100BU3P	71890	043000	2017-09-30	NotesSegmentInformationEtcSemiAnnualConsolidatedFinancialStatementsTextBlock	11	5	12	43	0	0	match
S100BUD4	87660	043000	2017-09-30	NotesSegmentInformationEtcSemiAnnualConsolidatedFinancialStatementsTextBlock	18	8	20	198	0	0	match
