generated_at: 2026-08-02T17:13:30
mode: apply
date_from: 
date_to: 
selected_rows: 23
candidates: 51
warnings: 0

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
excluded   | 9505     | 北陸電力               | 2020-03-31 | business | E04503-000Electricity    | SegmentProfit    | segment_profit     |   16,108,000,000 | OrdinaryIncome                   | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | business | その他                   | SegmentProfit    | segment_profit     |    9,412,000,000 | OrdinaryIncome                   | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | total    | 合計                     | SegmentProfit    | segment_profit     |   25,521,000,000 | OrdinaryIncome                   | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | excluded | Reconciling Items        |                  |                    |   -2,284,000,000 | OrdinaryIncome                   | excluded_adjustment_or_elimination_member
review     | 9505     | 北陸電力               | 2021-03-31 | business | E04503-000Power Generation Sales | SegmentProfit    | segment_profit     |   -8,265,000,000 | OrdinaryIncome                   | profit_metric_label_unclassified
review     | 9505     | 北陸電力               | 2021-03-31 | business | E04503-000Transmission And Distribution | SegmentProfit    | segment_profit     |   12,226,000,000 | OrdinaryIncome                   | profit_metric_label_unclassified
review     | 9505     | 北陸電力               | 2021-03-31 | business | その他                   | SegmentProfit    | segment_profit     |   10,622,000,000 | OrdinaryIncome                   | profit_metric_label_unclassified
excluded   | 9505     | 北陸電力               | 2021-03-31 | total    | 合計                     | SegmentProfit    | segment_profit     |   14,582,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | lower_priority_duplicate    
review     | 9505     | 北陸電力               | 2021-03-31 | total    | 合計                     | SegmentProfit    | segment_profit     |   14,582,000,000 | OrdinaryIncome                   | profit_metric_label_unclassified
excluded   | 9505     | 北陸電力               | 2021-03-31 | excluded | Reconciling Items        |                  |                    |   -2,228,000,000 | OrdinaryIncome                   | excluded_adjustment_or_elimination_member
excluded   | 9505     | 北陸電力               | 2020-03-31 | business | E04503-000Electricity    | NetSales         | external           |  570,175,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | business | その他                   | NetSales         | external           |   57,864,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | total    | 合計                     | NetSales         | external           |  628,039,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | excluded | Reconciling Items        |                  |                    |             None | RevenuesFromExternalCustomers    | excluded_adjustment_or_elimination_member
selected   | 9505     | 北陸電力               | 2021-03-31 | business | E04503-000Power Generation Sales | NetSales         | external           |  541,292,000,000 | RevenuesFromExternalCustomers    | selected                    
selected   | 9505     | 北陸電力               | 2021-03-31 | business | E04503-000Transmission And Distribution | NetSales         | external           |   42,103,000,000 | RevenuesFromExternalCustomers    | selected                    
selected   | 9505     | 北陸電力               | 2021-03-31 | business | その他                   | NetSales         | external           |   56,050,000,000 | RevenuesFromExternalCustomers    | selected                    
selected   | 9505     | 北陸電力               | 2021-03-31 | total    | 合計                     | NetSales         | external           |  639,445,000,000 | RevenuesFromExternalCustomers    | selected                    
excluded   | 9505     | 北陸電力               | 2021-03-31 | excluded | Reconciling Items        |                  |                    |             None | RevenuesFromExternalCustomers    | excluded_adjustment_or_elimination_member
