generated_at: 2026-04-18T15:56:38
db_path: E:\EDINET_Data\edinet_monitor\db\edinet_monitor.db
period_mode: all
period_from: all
period_to: all
industry_33: all
security_codes: all
status_filter: FILING_MISSING
annual_gap_detection: on
rows: 1222
status_summary: FILING_MISSING=1222

証券コード | 会社名                                             | 業種                 | 期末日     | doc_id | 提出日 | filing | zip | 正規化 | 派生 | parse_status | 状況          
2173       | 博展                                               | サービス業           | 2021-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2173       | 博展                                               | サービス業           | 2020-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2173       | 博展                                               | サービス業           | 2019-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2173       | 博展                                               | サービス業           | 2018-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2173       | 博展                                               | サービス業           | 2017-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2173       | 博展                                               | サービス業           | 2016-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2186       | ソーバル                                           | サービス業           | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2186       | ソーバル                                           | サービス業           | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2204       | 中村屋                                             | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2206       | 江崎グリコ                                         | 食料品               | 2018-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2206       | 江崎グリコ                                         | 食料品               | 2017-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2206       | 江崎グリコ                                         | 食料品               | 2016-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2221       | 岩塚製菓                                           | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2224       | コモ                                               | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2226       | 湖池屋                                             | 食料品               | 2021-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2226       | 湖池屋                                             | 食料品               | 2020-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2226       | 湖池屋                                             | 食料品               | 2019-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2226       | 湖池屋                                             | 食料品               | 2018-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2226       | 湖池屋                                             | 食料品               | 2017-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2264       | 森永乳業                                           | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2288       | 丸大食品                                           | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2292       | Ｓ　Ｆｏｏｄｓ                                     | 食料品               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2292       | Ｓ　Ｆｏｏｄｓ                                     | 食料品               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2294       | 柿安本店                                           | 食料品               | 2022-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2294       | 柿安本店                                           | 食料品               | 2021-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2294       | 柿安本店                                           | 食料品               | 2020-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2294       | 柿安本店                                           | 食料品               | 2019-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2294       | 柿安本店                                           | 食料品               | 2018-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2294       | 柿安本店                                           | 食料品               | 2017-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2294       | 柿安本店                                           | 食料品               | 2016-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2300       | きょくとう                                         | サービス業           | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2300       | きょくとう                                         | サービス業           | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2305       | スタジオアリス                                     | サービス業           | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2305       | スタジオアリス                                     | サービス業           | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2305       | スタジオアリス                                     | サービス業           | 2017-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2329       | 東北新社                                           | 情報・通信業         | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2337       | いちご                                             | 不動産業             | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2337       | いちご                                             | 不動産業             | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2338       | クオンタムソリューションズ                         | 情報・通信業         | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2338       | クオンタムソリューションズ                         | 情報・通信業         | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2341       | アルバイトタイムス                                 | サービス業           | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2341       | アルバイトタイムス                                 | サービス業           | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2344       | 平安レイサービス                                   | サービス業           | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2345       | ＨＯＤＬ１                                         | 情報・通信業         | 2018-10-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2345       | ＨＯＤＬ１                                         | 情報・通信業         | 2017-10-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2345       | ＨＯＤＬ１                                         | 情報・通信業         | 2016-10-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2354       | ＹＥ　ＤＩＧＩＴＡＬ                               | 情報・通信業         | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2354       | ＹＥ　ＤＩＧＩＴＡＬ                               | 情報・通信業         | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2354       | ＹＥ　ＤＩＧＩＴＡＬ                               | 情報・通信業         | 2017-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2376       | サイネックス                                       | サービス業           | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2378       | ルネサンス                                         | サービス業           | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2379       | ディップ                                           | サービス業           | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2379       | ディップ                                           | サービス業           | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2479       | ジェイテック                                       | サービス業           | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2488       | ＪＴＰ                                             | サービス業           | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2489       | アドウェイズ                                       | サービス業           | 2020-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2489       | アドウェイズ                                       | サービス業           | 2019-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2489       | アドウェイズ                                       | サービス業           | 2018-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2489       | アドウェイズ                                       | サービス業           | 2017-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2489       | アドウェイズ                                       | サービス業           | 2016-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2653       | イオン九州                                         | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2653       | イオン九州                                         | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2654       | アスモ                                             | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2656       | ベクターホールディングス                           | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2659       | サンエー                                           | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2659       | サンエー                                           | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2668       | タビオ                                             | 卸売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2668       | タビオ                                             | 卸売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2669       | カネ美食品                                         | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2669       | カネ美食品                                         | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
