generated_at: 2026-08-02T16:33:20
mode: apply
date_from: 
date_to: 
selected_rows: 816499
candidates: 2872003
warnings: 1

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
selected   | 4966     | 上村工業               | 2016-03-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    6,698,495,000 | OperatingIncome                  | selected                    
excluded   | 4966     | 上村工業               | 2016-03-31 | excluded | Reconciling Items        |                  |                    |             None | OperatingIncome                  | excluded_adjustment_or_elimination_member
excluded   | 4966     | 上村工業               | 2015-03-31 | total    | 合計                     | NetSales         | external           |   46,247,751,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 4966     | 上村工業               | 2015-03-31 | business | その他                   | NetSales         | external           |        6,880,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 4966     | 上村工業               | 2015-03-31 | total    | 合計                     | NetSales         | external           |   46,254,631,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 4966     | 上村工業               | 2015-03-31 | excluded | Reconciling Items        |                  |                    |             None | RevenuesFromExternalCustomers    | excluded_adjustment_or_elimination_member
selected   | 4966     | 上村工業               | 2016-03-31 | total    | 合計                     | NetSales         | external           |   47,561,600,000 | RevenuesFromExternalCustomers    | selected                    
selected   | 4966     | 上村工業               | 2016-03-31 | business | その他                   | NetSales         | external           |        6,909,000 | RevenuesFromExternalCustomers    | selected                    
excluded   | 4966     | 上村工業               | 2016-03-31 | total    | 合計                     | NetSales         | external           |   47,561,600,000 | RevenuesFromExternalCustomers    | lower_priority_duplicate    
selected   | 4966     | 上村工業               | 2016-03-31 | total    | 合計                     | NetSales         | external           |   47,568,509,000 | RevenuesFromExternalCustomers    | selected                    
excluded   | 4966     | 上村工業               | 2016-03-31 | excluded | Reconciling Items        |                  |                    |             None | RevenuesFromExternalCustomers    | excluded_adjustment_or_elimination_member
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded |                          |                  |                    |             None | FootnotesRegardingSegmentInformationTableTextBlock | table_0:excluded_no_supported_metric
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded |                          |                  |                    |             None | FootnotesRegardingSegmentInformationTableTextBlock | table_1:excluded_asset_table
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Energy Enterprise | NetSales         | total              |  195,593,000,000 | NetSales                         | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Real Estate Health And ASport Enterprise | NetSales         | total              |    2,832,000,000 | NetSales                         | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Power Industry | NetSales         | total              |   17,969,000,000 | NetSales                         | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | total    | 合計                     | NetSales         | total              |  216,394,000,000 | NetSales                         | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | その他                   | NetSales         | total              |    5,209,000,000 | NetSales                         | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | total    | 合計                     | NetSales         | total              |  221,604,000,000 | NetSales                         | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | excluded | Reconciling Items        |                  |                    |     -333,000,000 | NetSales                         | excluded_adjustment_or_elimination_member
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Energy Enterprise | NetSales         | total              |  155,370,000,000 | NetSales                         | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Real Estate Health And ASport Enterprise | NetSales         | total              |    2,816,000,000 | NetSales                         | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Power Industry | NetSales         | total              |   23,827,000,000 | NetSales                         | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | NetSales         | total              |  182,014,000,000 | NetSales                         | selected                    
