doc_id	security_code	form_type	period_end	source_tags	existing_row_count	proposed_row_count	selected_candidate_count	excluded_candidate_count	review_row_count	excel_suppressed_segment_profit_count	status
S1007FVW	45920	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	8	0	0	no_metrics
S1007G8I	26860	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	6	12	0	0	0	rebuild
S1007GSF	64690	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	44	3	0	0	rebuild
S1007HLQ	33330	030000	2016-02-20	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007HXE	98460	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	6	13	34	4	0	0	rebuild
S1007I6O	98420	030000	2016-02-20	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	22	48	0	0	0	rebuild
S1007ID1	27780	030000	2016-02-20	NotesSegmentInformationEtcFinancialStatementsTextBlock	12	24	44	1	1	0	rebuild
S1007IYK	82170	030000	2016-02-20	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007J0H	68140	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	52	8	0	0	rebuild
S1007J4T	75450	030000	2016-02-20	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007J5E	82270	030000	2016-02-20	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	12	24	2	0	0	rebuild
S1007JGS	98430	030000	2016-02-20	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	3	6	0	0	0	rebuild
S1007JJJ	59000	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	9	13	26	2	0	0	rebuild
S1007JLY	62790	030000	2016-02-20	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	4	8	6	0	0	rebuild
S1007JP3	67340	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007JRZ	40980	030000	2016-03-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	12	22	44	4	1	0	rebuild
S1007JS6	82760	030000	2016-02-20	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	8	18	44	4	0	0	rebuild
S1007JT1	99760	030000	2016-02-20	NotesSegmentInformationEtcFinancialStatementsTextBlock	3	6	20	1	0	0	rebuild
S1007JUG	93810	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	2	17	42	2	0	0	rebuild
